Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Brandon Woodruff","MIL",121.2,493,3.6247,109,15,1,49,49,12,30,0,5,143,0.240088105,0.293279022,0.356828193,0.28064463361945996,16162
2019,"Chandler Shepherd","BAL",19,84,6.6316,23,3,1,15,14,5,6,0,2,17,0.302631578,0.369047619,0.565789473,0.3884689183462234,16166
2019,"Justin Anderson","LAA",47,217,5.5532,42,16,1,32,29,6,32,0,1,60,0.232044198,0.347222222,0.430939226,0.33316683934794533,16201
2019,"Spencer Turnbull","DET",148.1,656,4.6112,154,34,4,86,76,14,59,1,16,146,0.267361111,0.34961832,0.413194444,0.3285636502668398,16207
2019,"AJ Reed","CHW",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16246
2019,"Kyle Freeland","COL",104.1,473,6.7284,126,21,7,85,78,25,39,3,2,79,0.295774647,0.354564755,0.55399061,0.37288851093532693,16256
2019,"Aaron Bummer","CHW",67.2,262,2.1281,43,4,0,17,16,4,24,2,3,60,0.183760683,0.268199233,0.252136752,0.23322464278305818,16258
2019,"Sam Howard","COL",19,91,6.6316,21,3,0,16,14,5,10,0,3,23,0.276315789,0.382022471,0.513157894,0.3787995550069916,16265
2019,"John Means","BAL",155,637,3.6,138,33,3,68,62,23,38,0,5,121,0.233898305,0.284591194,0.416949152,0.29539707546713967,16269
2019,"Jesus Tinoco","COL",36,161,4.75,36,8,1,23,19,12,22,1,1,28,0.262773722,0.366459627,0.598540145,0.3924766980111599,16300
2019,"Gerardo Reyes","SDP",26,117,7.6154,24,4,2,22,22,3,11,1,3,38,0.24,0.327586206,0.41,0.3117217198662136,16306
2019,"Austen Williams","WSN",0.1,7,162.0162,5,2,0,6,6,2,1,0,0,1,0.833333333,0.857142857,2.166666666,1.1246146219117301,16309
2019,"Alex McRae","PIT",26.2,132,8.775,36,6,0,30,26,9,16,1,3,19,0.31858407,0.416666666,0.610619469,0.4238902903695143,16317
2019,"Ricardo Pinto","TBR",2.1,13,15.4288,4,1,0,4,4,1,2,0,0,0,0.363636363,0.461538461,0.727272727,0.48276952596811146,16318
2019,"Ryan Borucki","TOR",6.2,40,10.7999,15,6,0,10,8,2,6,0,0,6,0.44117647,0.525,0.794117647,0.5352018818259239,16350
2019,"Tyler Mahle","CIN",129.2,556,5.1362,136,21,1,82,74,25,34,0,6,129,0.265625,0.31768953,0.45703125,0.3262594252932373,16358
2019,"Brad Wieck","2 Tms",34.2,148,5.7115,28,7,0,23,22,8,13,0,3,49,0.213740458,0.297297297,0.450381679,0.31398181738080205,16390
2019,"Reynaldo Lopez","CHW",184,809,5.3804,203,44,3,119,110,35,65,0,8,169,0.278463648,0.342007434,0.491083676,0.34925574226745737,16400
2019,"Yonny Chirinos","TBR",133.1,530,3.8475,112,19,3,61,57,23,28,1,3,114,0.224899598,0.26981132,0.413654618,0.286147982276455,16401
2019,"Richard Urena","TOR",1,8,36,4,1,0,4,4,1,1,0,0,0,0.571428571,0.625,1.142857142,0.698213666677475,16411
2019,"James Norwood","CHC",9.1,44,2.8929,9,1,1,4,3,1,8,0,0,11,0.25,0.386363636,0.416666666,0.3505730764432387,16440
2019,"Matt Wotherspoon","BAL",4.2,26,15.4285,10,1,0,8,8,2,2,0,1,2,0.434782608,0.5,0.739130434,0.5108766234838046,16452
